,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",total
ZCTA5 85122,Estimate,1493,963,1147,1090,1087,1188,1342,1094,1344,1675,1836,1898,886,500,614,253,18410
ZCTA5 85122,Margin of Error,+/-334,+/-202,+/-207,+/-220,+/-289,+/-223,+/-264,+/-284,+/-337,+/-326,+/-277,+/-279,+/-207,+/-147,+/-176,+/-141,0
ZCTA5 85123,Estimate,262,179,168,251,20,178,398,382,164,414,493,420,174,143,36,13,3695
ZCTA5 85123,Margin of Error,+/-144,+/-138,+/-90,+/-113,+/-21,+/-125,+/-192,+/-171,+/-93,+/-159,+/-207,+/-184,+/-117,+/-36,+/-36,+/-19,0
ZCTA5 85128,Estimate,508,361,390,222,481,251,177,218,233,439,475,669,236,115,79,25,4879
ZCTA5 85128,Margin of Error,+/-151,+/-163,+/-130,+/-90,+/-153,+/-130,+/-84,+/-107,+/-106,+/-162,+/-144,+/-201,+/-88,+/-88,+/-66,+/-31,0
ZCTA5 85131,Estimate,593,398,289,384,214,255,188,164,135,242,220,288,43,114,30,15,3572
ZCTA5 85131,Margin of Error,+/-130,+/-132,+/-129,+/-144,+/-97,+/-110,+/-112,+/-103,+/-52,+/-105,+/-93,+/-88,+/-27,+/-59,+/-34,+/-23,0
ZCTA5 85132,Estimate,539,251,327,629,662,380,235,483,422,915,1041,924,278,261,150,74,7571
ZCTA5 85132,Margin of Error,+/-161,+/-111,+/-148,+/-197,+/-210,+/-191,+/-101,+/-205,+/-144,+/-267,+/-277,+/-230,+/-129,+/-125,+/-88,+/-67,0
ZCTA5 85135,Estimate,11,6,16,26,12,3,21,30,26,0,14,16,3,0,0,0,184
ZCTA5 85135,Margin of Error,+/-15,+/-7,+/-14,+/-22,+/-10,+/-5,+/-20,+/-24,+/-17,+/-13,+/-14,+/-19,+/-5,+/-13,+/-13,+/-13,0
ZCTA5 85137,Estimate,46,33,44,44,76,62,52,92,17,73,68,158,53,43,19,10,890
ZCTA5 85137,Margin of Error,+/-30,+/-24,+/-30,+/-25,+/-41,+/-33,+/-31,+/-51,+/-23,+/-40,+/-47,+/-66,+/-32,+/-33,+/-21,+/-14,0
ZCTA5 85138,Estimate,419,115,321,312,535,730,378,569,693,803,1739,1859,1292,664,543,216,11188
ZCTA5 85138,Margin of Error,+/-166,+/-62,+/-121,+/-135,+/-184,+/-211,+/-157,+/-177,+/-192,+/-197,+/-311,+/-352,+/-294,+/-173,+/-156,+/-124,0
ZCTA5 85139,Estimate,305,279,293,188,291,322,282,251,273,787,912,877,307,157,164,107,5795
ZCTA5 85139,Margin of Error,+/-114,+/-136,+/-185,+/-98,+/-109,+/-156,+/-118,+/-132,+/-129,+/-255,+/-178,+/-236,+/-102,+/-94,+/-94,+/-68,0
ZCTA5 85140,Estimate,357,184,496,593,471,539,673,538,661,1336,1773,1647,1251,343,205,119,11186
ZCTA5 85140,Margin of Error,+/-177,+/-111,+/-229,+/-265,+/-196,+/-236,+/-292,+/-197,+/-234,+/-396,+/-360,+/-345,+/-352,+/-166,+/-132,+/-60,0
ZCTA5 85141,Estimate,9,4,13,6,19,12,4,4,16,12,5,16,0,0,0,0,120
ZCTA5 85141,Margin of Error,+/-12,+/-6,+/-12,+/-9,+/-17,+/-14,+/-5,+/-5,+/-14,+/-14,+/-6,+/-15,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 85142,Estimate,455,234,364,454,329,872,747,611,772,1260,2032,2677,1951,985,1011,815,15569
ZCTA5 85142,Margin of Error,+/-282,+/-131,+/-160,+/-187,+/-148,+/-263,+/-324,+/-202,+/-251,+/-266,+/-403,+/-384,+/-317,+/-192,+/-202,+/-216,0
ZCTA5 85143,Estimate,670,192,247,538,336,596,598,564,549,1267,1184,2105,1170,341,293,427,11077
ZCTA5 85143,Margin of Error,+/-239,+/-151,+/-144,+/-220,+/-126,+/-212,+/-216,+/-203,+/-232,+/-302,+/-241,+/-409,+/-297,+/-146,+/-155,+/-174,0
ZCTA5 85145,Estimate,17,13,17,16,9,39,40,49,62,104,68,95,54,32,3,0,618
