,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",total
ZCTA5 86336,Estimate,242,405,324,341,390,292,322,257,291,505,496,526,427,145,262,478,5703
ZCTA5 86336,Margin of Error,+/-76,+/-162,+/-164,+/-142,+/-135,+/-115,+/-131,+/-126,+/-103,+/-159,+/-159,+/-150,+/-132,+/-77,+/-121,+/-133,0
ZCTA5 86337,Estimate,76,94,44,16,11,29,39,0,37,21,26,52,19,13,18,0,495
ZCTA5 86337,Margin of Error,+/-44,+/-43,+/-30,+/-14,+/-13,+/-29,+/-31,+/-13,+/-33,+/-21,+/-19,+/-36,+/-23,+/-20,+/-16,+/-13,0
ZCTA5 86338,Estimate,19,0,8,0,69,17,24,0,15,14,41,10,8,8,6,10,249
ZCTA5 86338,Margin of Error,+/-20,+/-13,+/-14,+/-13,+/-36,+/-20,+/-23,+/-13,+/-19,+/-17,+/-26,+/-13,+/-13,+/-12,+/-11,+/-15,0
ZCTA5 86343,Estimate,6,11,5,0,0,2,10,2,0,1,6,0,2,2,13,2,62
ZCTA5 86343,Margin of Error,+/-6,+/-15,+/-5,+/-13,+/-13,+/-5,+/-12,+/-3,+/-13,+/-3,+/-8,+/-13,+/-3,+/-3,+/-12,+/-4,0
ZCTA5 86351,Estimate,161,189,235,73,126,136,270,110,216,155,370,522,384,54,160,115,3276
ZCTA5 86351,Margin of Error,+/-102,+/-120,+/-125,+/-52,+/-66,+/-83,+/-112,+/-66,+/-110,+/-112,+/-129,+/-205,+/-123,+/-47,+/-101,+/-72,0
ZCTA5 86401,Estimate,568,571,826,607,748,475,605,507,377,1115,1219,808,535,192,151,194,9498
ZCTA5 86401,Margin of Error,+/-165,+/-192,+/-233,+/-198,+/-203,+/-138,+/-196,+/-170,+/-105,+/-278,+/-261,+/-220,+/-159,+/-97,+/-81,+/-86,0
ZCTA5 86403,Estimate,522,380,339,721,547,522,416,534,244,629,468,598,299,149,48,92,6508
ZCTA5 86403,Margin of Error,+/-167,+/-120,+/-141,+/-181,+/-171,+/-187,+/-121,+/-142,+/-108,+/-173,+/-151,+/-140,+/-105,+/-87,+/-48,+/-54,0
ZCTA5 86404,Estimate,578,376,563,417,677,456,445,500,293,630,931,622,273,129,269,106,7265
ZCTA5 86404,Margin of Error,+/-173,+/-122,+/-133,+/-166,+/-210,+/-180,+/-138,+/-131,+/-108,+/-184,+/-213,+/-154,+/-131,+/-70,+/-99,+/-47,0
ZCTA5 86406,Estimate,658,408,410,544,795,766,774,863,505,1093,931,1205,617,386,268,205,10428
ZCTA5 86406,Margin of Error,+/-197,+/-154,+/-159,+/-182,+/-246,+/-202,+/-195,+/-227,+/-162,+/-218,+/-231,+/-259,+/-178,+/-141,+/-144,+/-91,0
ZCTA5 86409,Estimate,946,1183,1297,806,866,646,457,510,430,829,790,949,420,200,117,39,10485
ZCTA5 86409,Margin of Error,+/-226,+/-267,+/-243,+/-205,+/-223,+/-173,+/-143,+/-141,+/-161,+/-237,+/-197,+/-185,+/-176,+/-90,+/-79,+/-34,0
ZCTA5 86411,Estimate,8,3,0,0,3,17,12,0,17,9,4,4,14,0,0,5,96
ZCTA5 86411,Margin of Error,+/-10,+/-6,+/-13,+/-13,+/-6,+/-16,+/-19,+/-13,+/-16,+/-10,+/-6,+/-7,+/-16,+/-13,+/-13,+/-8,0
ZCTA5 86413,Estimate,624,355,471,272,228,504,286,310,348,531,261,291,91,0,18,14,4604
ZCTA5 86413,Margin of Error,+/-178,+/-137,+/-173,+/-112,+/-135,+/-175,+/-121,+/-144,+/-141,+/-183,+/-125,+/-130,+/-71,+/-20,+/-30,+/-23,0
ZCTA5 86426,Estimate,240,375,411,739,414,286,286,413,219,583,463,802,231,121,124,92,5799
ZCTA5 86426,Margin of Error,+/-119,+/-164,+/-162,+/-265,+/-136,+/-106,+/-120,+/-159,+/-110,+/-199,+/-132,+/-197,+/-132,+/-82,+/-107,+/-69,0
ZCTA5 86429,Estimate,329,183,268,275,174,226,172,199,89,295,437,219,204,84,55,109,3318
ZCTA5 86429,Margin of Error,+/-138,+/-78,+/-104,+/-119,+/-63,+/-97,+/-87,+/-98,+/-46,+/-123,+/-160,+/-95,+/-95,+/-47,+/-52,+/-113,0
ZCTA5 86431,Estimate,15,59,21,18,12,11,20,0,0,0,5,6,0,0,0,0,167
ZCTA5 86431,Margin of Error,+/-14,+/-54,+/-28,+/-15,+/-14,+/-13,+/-26,+/-13,+/-13,+/-13,+/-7,+/-9,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86432,Estimate,111,37,116,135,47,144,98,62,6,151,16,201,63,36,0,0,1223
ZCTA5 86432,Margin of Error,+/-115,+/-36,+/-109,+/-124,+/-32,+/-118,+/-108,+/-45,+/-9,+/-107,+/-19,+/-142,+/-69,+/-57,+/-13,+/-13,0
ZCTA5 86433,Estimate,54,0,0,16,0,0,0,19,0,0,0,0,0,0,0,0,89
ZCTA5 86433,Margin of Error,+/-84,+/-13,+/-13,+/-24,+/-13,+/-13,+/-13,+/-30,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86434,Estimate,40,36,39,11,11,28,17,19,17,35,31,20,20,11,0,5,340
ZCTA5 86434,Margin of Error,+/-18,+/-18,+/-16,+/-14,+/-8,+/-15,+/-13,+/-13,+/-15,+/-21,+/-19,+/-11,+/-12,+/-8,+/-13,+/-8,0
ZCTA5 86435,Estimate,2,2,2,0,0,3,8,5,4,5,6,6,0,0,0,0,43
ZCTA5 86435,Margin of Error,+/-4,+/-5,+/-3,+/-13,+/-13,+/-5,+/-10,+/-8,+/-7,+/-7,+/-6,+/-9,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86436,Estimate,112,77,92,57,25,64,41,94,61,15,152,13,0,0,0,0,803
ZCTA5 86436,Margin of Error,+/-118,+/-95,+/-98,+/-67,+/-38,+/-105,+/-66,+/-87,+/-65,+/-24,+/-139,+/-21,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86437,Estimate,2,2,2,2,0,5,0,0,0,2,2,4,2,0,0,0,23
ZCTA5 86437,Margin of Error,+/-4,+/-3,+/-4,+/-3,+/-13,+/-7,+/-13,+/-13,+/-13,+/-3,+/-4,+/-6,+/-3,+/-13,+/-13,+/-13,0
ZCTA5 86438,Estimate,56,32,34,27,27,116,17,2,49,10,10,13,19,14,0,0,426
ZCTA5 86438,Margin of Error,+/-44,+/-30,+/-39,+/-21,+/-28,+/-110,+/-19,+/-5,+/-67,+/-12,+/-15,+/-15,+/-21,+/-16,+/-13,+/-13,0
ZCTA5 86440,Estimate,229,165,173,210,189,319,128,205,176,154,246,207,195,92,78,38,2804
ZCTA5 86440,Margin of Error,+/-127,+/-96,+/-86,+/-86,+/-75,+/-152,+/-61,+/-119,+/-84,+/-73,+/-113,+/-100,+/-111,+/-71,+/-65,+/-34,0
ZCTA5 86441,Estimate,230,30,233,67,84,102,97,0,36,104,35,45,34,0,0,0,1097
ZCTA5 86441,Margin of Error,+/-156,+/-38,+/-125,+/-76,+/-96,+/-94,+/-83,+/-13,+/-63,+/-87,+/-54,+/-53,+/-54,+/-13,+/-13,+/-13,0
ZCTA5 86442,Estimate,1203,715,1110,1135,1278,1132,953,892,990,992,1354,1041,444,238,101,213,13791
ZCTA5 86442,Margin of Error,+/-214,+/-135,+/-263,+/-237,+/-281,+/-270,+/-203,+/-225,+/-249,+/-211,+/-274,+/-215,+/-149,+/-116,+/-63,+/-114,0
ZCTA5 86443,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 86443,Margin of Error,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86444,Estimate,60,60,70,36,88,23,20,0,0,27,29,9,0,0,0,0,422
ZCTA5 86444,Margin of Error,+/-57,+/-60,+/-61,+/-39,+/-76,+/-25,+/-33,+/-13,+/-13,+/-45,+/-46,+/-14,+/-13,+/-13,+/-13,+/-13,0
ZCTA5 86445,Estimate,0,20,14,26,0,15,0,0,11,77,0,0,15,0,0,0,178
ZCTA5 86445,Margin of Error,+/-13,+/-22,+/-22,+/-29,+/-13,+/-25,+/-13,+/-13,+/-17,+/-87,+/-13,+/-13,+/-24,+/-13,+/-13,+/-13,0
ZCTA5 86502,Estimate,81,49,33,29,9,14,9,16,6,38,19,16,14,0,9,0,342
ZCTA5 86502,Margin of Error,+/-25,+/-22,+/-17,+/-15,+/-9,+/-11,+/-8,+/-12,+/-7,+/-39,+/-17,+/-11,+/-9,+/-13,+/-13,+/-13,0
ZCTA5 86503,Estimate,616,285,129,100,183,178,99,166,154,198,252,208,65,4,36,0,2673
ZCTA5 86503,Margin of Error,+/-136,+/-86,+/-49,+/-38,+/-81,+/-61,+/-53,+/-67,+/-56,+/-64,+/-82,+/-77,+/-38,+/-5,+/-39,+/-20,0
ZCTA5 86504,Estimate,306,74,58,169,65,106,78,68,88,67,140,115,98,94,13,10,1549
ZCTA5 86504,Margin of Error,+/-69,+/-38,+/-35,+/-77,+/-37,+/-55,+/-40,+/-39,+/-42,+/-37,+/-50,+/-45,+/-50,+/-63,+/-20,+/-15,0
ZCTA5 86505,Estimate,473,242,157,188,140,99,103,74,79,141,120,113,48,27,8,8,2020
ZCTA5 86505,Margin of Error,+/-51,+/-43,+/-31,+/-47,+/-36,+/-28,+/-28,+/-25,+/-25,+/-38,+/-31,+/-28,+/-18,+/-17,+/-8,+/-8,0
ZCTA5 86506,Estimate,100,22,28,33,15,12,6,20,3,42,17,24,3,0,0,3,328
ZCTA5 86506,Margin of Error,+/-26,+/-12,+/-18,+/-18,+/-11,+/-8,+/-6,+/-11,+/-4,+/-19,+/-12,+/-14,+/-4,+/-13,+/-13,+/-5,0
ZCTA5 86507,Estimate,144,47,33,32,29,31,19,12,13,46,26,41,18,0,2,4,497
ZCTA5 86507,Margin of Error,+/-32,+/-18,+/-15,+/-16,+/-15,+/-14,+/-13,+/-9,+/-11,+/-20,+/-16,+/-22,+/-12,+/-13,+/-4,+/-6,0
ZCTA5 86508,Estimate,60,36,26,24,13,10,15,2,19,11,12,17,3,0,2,0,250
ZCTA5 86508,Margin of Error,+/-22,+/-19,+/-13,+/-11,+/-10,+/-9,+/-10,+/-3,+/-14,+/-10,+/-9,+/-12,+/-4,+/-13,+/-4,+/-13,0
ZCTA5 86510,Estimate,407,171,114,98,101,60,111,56,55,117,64,75,28,2,2,0,1461
ZCTA5 86510,Margin of Error,+/-51,+/-34,+/-29,+/-30,+/-27,+/-24,+/-30,+/-25,+/-20,+/-29,+/-21,+/-25,+/-15,+/-3,+/-3,+/-18,0
ZCTA5 86511,Estimate,243,45,45,25,12,104,10,13,52,85,81,63,12,0,30,0,820
ZCTA5 86511,Margin of Error,+/-58,+/-24,+/-35,+/-24,+/-8,+/-63,+/-8,+/-13,+/-38,+/-38,+/-51,+/-43,+/-14,+/-13,+/-19,+/-13,0
ZCTA5 86512,Estimate,151,76,58,28,31,27,33,37,8,54,34,43,11,7,6,5,609
ZCTA5 86512,Margin of Error,+/-41,+/-31,+/-26,+/-15,+/-15,+/-14,+/-21,+/-22,+/-6,+/-30,+/-20,+/-20,+/-9,+/-8,+/-8,+/-8,0
ZCTA5 86514,Estimate,175,74,79,36,44,27,39,26,40,42,47,23,14,8,9,0,683
ZCTA5 86514,Margin of Error,+/-36,+/-28,+/-23,+/-17,+/-20,+/-14,+/-15,+/-13,+/-20,+/-17,+/-17,+/-13,+/-10,+/-8,+/-9,+/-11,0
ZCTA5 86515,Estimate,279,120,34,101,50,80,84,68,39,67,239,77,42,9,7,0,1296
ZCTA5 86515,Margin of Error,+/-80,+/-71,+/-25,+/-47,+/-40,+/-46,+/-44,+/-36,+/-35,+/-32,+/-134,+/-61,+/-24,+/-14,+/-13,+/-11,0
ZCTA5 86520,Estimate,162,59,46,24,18,29,24,18,13,21,30,22,10,0,0,2,478
ZCTA5 86520,Margin of Error,+/-33,+/-19,+/-18,+/-16,+/-10,+/-15,+/-14,+/-12,+/-12,+/-15,+/-12,+/-13,+/-8,+/-13,+/-13,+/-3,0
ZCTA5 86535,Estimate,77,21,17,22,16,15,17,6,4,18,20,15,0,3,0,0,251
ZCTA5 86535,Margin of Error,+/-28,+/-11,+/-9,+/-11,+/-10,+/-11,+/-10,+/-7,+/-7,+/-14,+/-13,+/-10,+/-13,+/-4,+/-13,+/-13,0
ZCTA5 86538,Estimate,97,33,30,54,26,34,19,17,33,56,83,43,29,0,0,0,554
ZCTA5 86538,Margin of Error,+/-31,+/-20,+/-16,+/-22,+/-16,+/-18,+/-14,+/-14,+/-17,+/-23,+/-29,+/-20,+/-17,+/-13,+/-13,+/-13,0
ZCTA5 86540,Estimate,72,28,28,20,5,16,4,7,15,7,15,22,9,0,0,0,248
ZCTA5 86540,Margin of Error,+/-23,+/-13,+/-17,+/-13,+/-5,+/-10,+/-5,+/-7,+/-12,+/-7,+/-13,+/-13,+/-8,+/-13,+/-13,+/-13,0
ZCTA5 86544,Estimate,88,42,23,27,21,26,6,26,12,22,26,20,17,7,3,0,366
ZCTA5 86544,Margin of Error,+/-29,+/-16,+/-13,+/-15,+/-14,+/-16,+/-5,+/-14,+/-10,+/-13,+/-15,+/-12,+/-10,+/-6,+/-4,+/-13,0
ZCTA5 86545,Estimate,77,51,12,14,31,38,11,20,12,17,20,18,11,6,0,0,338
ZCTA5 86545,Margin of Error,+/-23,+/-22,+/-8,+/-11,+/-15,+/-21,+/-8,+/-11,+/-7,+/-11,+/-12,+/-10,+/-8,+/-6,+/-13,+/-13,0
ZCTA5 86547,Estimate,86,8,20,38,13,23,21,13,14,11,18,4,3,0,0,0,272
ZCTA5 86547,Margin of Error,+/-28,+/-7,+/-13,+/-17,+/-10,+/-13,+/-13,+/-10,+/-10,+/-9,+/-14,+/-6,+/-4,+/-13,+/-13,+/-13,0
ZCTA5 86556,Estimate,112,45,38,16,11,43,10,19,6,31,11,19,8,14,4,2,389
ZCTA5 86556,Margin of Error,+/-29,+/-22,+/-16,+/-12,+/-11,+/-19,+/-9,+/-12,+/-7,+/-14,+/-8,+/-13,+/-8,+/-11,+/-6,+/-3,0
ZCTA5 87328,Estimate,139,64,74,76,33,35,36,30,14,49,66,32,2,14,6,5,675
ZCTA5 87328,Margin of Error,+/-35,+/-25,+/-23,+/-26,+/-18,+/-20,+/-16,+/-15,+/-10,+/-22,+/-23,+/-22,+/-4,+/-12,+/-7,+/-6,0
