,zip,estimate,less than 10K,10K to 15K,15K to 20K,20K to 25K,25K to 30K,30K to 35K,35K to 40K,40K to 45K,45K to 50K,50K to 60K,60K to 75K,75K to 100K,100K to 125K,125K to 150K,150K to 200K,more than 200K,total,income
187,85539,Estimate,140,128,113,155,107,172,66,77,134,179,308,137,206,15,5,8,1950,60K to 75K
188,85540,Estimate,42,10,16,41,18,0,64,63,64,184,165,218,159,49,10,6,1109,75K to 100K
189,85541,Estimate,754,561,686,739,505,614,742,639,541,845,761,1064,362,260,227,109,9409,75K to 100K
190,85542,Estimate,202,69,32,66,18,10,33,62,39,68,58,53,52,18,11,0,791,less than 10K
191,85543,Estimate,104,81,96,55,38,84,74,72,84,92,141,176,53,54,17,15,1236,75K to 100K
192,85544,Estimate,133,12,42,62,27,0,19,76,63,84,83,114,137,0,0,11,863,100K to 125K
193,85545,Estimate,41,0,11,10,32,35,38,12,0,15,40,63,0,0,0,6,303,75K to 100K
194,85546,Estimate,529,266,408,483,255,213,426,185,390,420,775,1053,251,159,169,46,6028,75K to 100K
195,85550,Estimate,179,92,60,159,85,38,111,43,98,93,56,47,54,41,0,14,1170,less than 10K
196,85551,Estimate,9,0,3,0,21,3,5,2,7,26,25,17,13,0,0,0,131,50K to 60K
197,85552,Estimate,190,104,125,86,94,60,130,133,100,160,143,273,232,169,47,62,2108,75K to 100K
198,85553,Estimate,71,31,101,114,74,0,63,0,40,55,85,93,21,20,0,21,789,20K to 25K
199,85554,Estimate,20,5,4,11,11,10,0,12,37,11,57,43,0,0,0,0,221,60K to 75K
200,85601,Estimate,29,19,40,71,9,68,36,31,17,19,0,7,0,0,0,0,346,20K to 25K
201,85602,Estimate,309,167,344,309,371,277,224,182,260,590,253,359,188,165,21,8,4027,50K to 60K
202,85603,Estimate,462,292,274,261,175,281,160,113,118,282,323,212,201,83,61,30,3328,less than 10K
203,85605,Estimate,31,19,12,24,6,6,10,21,6,5,34,12,3,0,0,0,189,60K to 75K
204,85606,Estimate,58,9,66,19,78,21,13,23,19,40,54,53,45,0,21,15,534,25K to 30K
205,85607,Estimate,766,690,593,428,462,326,184,223,265,293,363,428,163,55,40,40,5319,less than 10K
206,85608,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
207,85609,Estimate,0,0,34,16,0,0,0,0,16,46,37,37,0,0,0,0,186,50K to 60K
208,85610,Estimate,37,9,17,26,11,30,36,32,46,46,32,58,13,0,17,0,410,75K to 100K
209,85611,Estimate,35,22,18,28,82,6,32,0,21,35,24,67,13,47,11,0,441,25K to 30K
210,85613,Estimate,12,0,6,38,64,30,98,61,53,35,154,152,51,4,18,0,776,60K to 75K
211,85614,Estimate,431,675,756,884,766,815,823,557,647,1215,1288,1723,845,327,317,186,12255,75K to 100K
212,85615,Estimate,234,120,222,42,110,298,181,167,202,499,296,605,268,151,210,132,3737,75K to 100K
213,85616,Estimate,285,199,122,124,99,218,86,99,119,223,102,478,48,117,9,3,2331,75K to 100K
214,85617,Estimate,40,65,13,72,42,19,28,40,29,26,43,34,24,46,2,2,525,20K to 25K
215,85618,Estimate,62,41,59,40,28,59,45,38,38,44,45,59,27,0,3,8,596,less than 10K
216,85619,Estimate,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,30,75K to 100K
217,85620,Estimate,49,19,12,23,31,10,20,11,11,9,13,27,15,0,0,0,250,less than 10K
218,85621,Estimate,1335,796,551,621,530,486,315,174,290,465,463,559,319,123,149,100,7276,less than 10K
219,85622,Estimate,63,96,149,132,296,262,287,125,184,382,618,364,266,284,136,102,3746,60K to 75K
220,85623,Estimate,398,29,29,166,53,15,72,50,96,216,255,342,123,100,31,37,2012,less than 10K
221,85624,Estimate,101,76,62,23,11,36,35,60,28,48,44,35,29,39,27,24,678,less than 10K
222,85625,Estimate,121,56,63,35,84,81,125,51,68,91,26,57,21,30,2,18,929,35K to 40K
223,85626,Estimate,109,53,21,27,9,40,0,10,0,15,0,8,0,0,0,0,292,less than 10K
224,85627,Estimate,52,7,11,49,17,27,9,4,9,94,11,14,17,28,4,13,366,50K to 60K
225,85629,Estimate,165,183,221,215,182,362,297,482,373,1048,1243,1281,637,579,451,159,7878,75K to 100K
226,85630,Estimate,119,0,116,24,80,30,50,85,48,150,64,105,45,48,16,16,996,50K to 60K
227,85631,Estimate,84,120,48,128,113,43,60,131,15,95,317,116,66,18,12,11,1377,60K to 75K
228,85632,Estimate,41,61,53,22,15,25,26,24,26,22,28,39,45,16,6,2,451,10K to 15K
229,85633,Estimate,0,0,5,6,2,2,0,0,0,0,0,0,0,4,0,0,19,20K to 25K
230,85634,Estimate,391,114,169,66,126,124,55,42,45,109,71,167,44,16,10,0,1549,less than 10K
231,85635,Estimate,1291,788,540,603,870,789,505,663,630,1588,1520,1903,1308,665,620,263,14546,75K to 100K
232,85637,Estimate,14,6,21,11,29,41,15,21,33,62,75,105,34,54,33,23,577,75K to 100K
233,85638,Estimate,123,92,74,73,90,44,39,90,40,43,41,97,42,25,14,5,932,less than 10K
234,85640,Estimate,28,20,106,20,25,0,11,18,38,23,8,31,0,0,0,0,328,15K to 20K
235,85641,Estimate,183,178,90,253,159,297,146,213,236,559,824,1542,1272,672,688,413,7725,75K to 100K
236,85643,Estimate,253,236,202,198,204,231,148,250,137,272,440,280,99,133,41,123,3247,60K to 75K
237,85645,Estimate,60,37,21,33,19,57,61,33,31,112,35,104,41,36,26,0,706,50K to 60K
238,85646,Estimate,80,32,28,46,38,13,69,84,9,67,135,28,19,94,72,0,814,60K to 75K
239,85648,Estimate,173,375,383,277,405,258,326,274,256,804,557,694,355,220,154,80,5591,50K to 60K
240,85650,Estimate,257,291,141,253,259,262,241,296,101,352,396,744,769,443,490,573,5868,100K to 125K
241,85653,Estimate,308,278,217,231,276,110,248,160,157,532,664,600,486,198,162,47,4674,60K to 75K
242,85654,Estimate,55,16,0,0,0,0,0,0,0,0,0,0,13,0,0,0,84,less than 10K
